# Catálogo de ejercicios del sistema para seed-system-exercises.ts
# Columnas: filename,name,muscle_group,description,execution
# filename = nombre exacto del .mp4 en la carpeta de videos
# muscle_group = Pecho | Espalda | Piernas | Hombros | Brazos | Core | Cardio | Full Body
# Evita comas en description y execution (el parser no las soporta aún)
# En execution usa | para separar pasos (se convierten a saltos de línea al importar)
# Regenerar: npx tsx scripts/db/generate-system-exercises-csv.ts
filename,name,muscle_group,description,execution
45 Degree Leg Press.mp4,Prensa de piernas 45°,Piernas,Demostración de Prensa de piernas 45°,Siéntate con la espalda y los glúteos pegados al respaldo y los pies al ancho de hombros en la plataforma|Desbloquea las trabas de seguridad antes de iniciar y mantén las rodillas alineadas con la punta de los pies|Baja la plataforma de forma controlada hasta que las rodillas formen aproximadamente 90 grados sin levantar la cadera del asiento|Empuja con los talones y la parte media del pie hasta extender las piernas sin bloquear las rodillas al final|Vuelve a trabar las seguridades al terminar la serie
45-Degree back extension.mp4,Extensión lumbar 45°,Core,Demostración de Extensión lumbar 45°,Colócate en el banco con las caderas apoyadas en el cojín y los tobillos fijos bajo los rodillos|Cruza los brazos sobre el pecho o coloca las manos detrás de la cabeza sin tirar del cuello|Baja el torso de forma controlada hasta sentir un estiramiento moderado en la zona lumbar|Extiende la espalda empujando con los glúteos hasta alinear el cuerpo en línea recta sin hiperextender|Mantén el core activo durante todo el movimiento
Barbell back squat high.mp4,Sentadilla trasera barra alta,Piernas,Demostración de Sentadilla trasera barra alta,Coloca la barra sobre los trapecios altos y aprieta los omóplatos para crear un soporte firme|Pisa el suelo con los pies al ancho de hombros y las puntas ligeramente hacia afuera|Inhala y baja empujando las caderas hacia atrás manteniendo el pecho alto y la espalda neutra|Desciende hasta que los muslos queden paralelos al suelo o un poco más abajo según tu movilidad|Empuja el suelo con los talones y exhala al subir manteniendo las rodillas alineadas con los pies
Barbell back squat low.mp4,Sentadilla trasera barra baja,Piernas,Demostración de Sentadilla trasera barra baja,Posiciona la barra sobre los deltoides posteriores y aprieta los omóplatos para fijarla bien|Coloca los pies al ancho de hombros con las puntas ligeramente abiertas y el core activado|Baja de forma controlada empujando las caderas hacia atrás y manteniendo el torso más inclinado que en barra alta|Llega hasta la profundidad que permita tu movilidad sin redondear la espalda baja|Sube empujando el suelo con los talones y mantén las rodillas en la misma dirección que los pies
Barbell curl.mp4,Curl con barra,Brazos,Demostración de Curl con barra,Párate con los pies al ancho de caderas y agarra la barra con las palmas hacia arriba al ancho de hombros|Mantén los codos pegados a los costados y el core activado durante todo el movimiento|Flexiona los codos llevando la barra hacia los hombros sin balancear el cuerpo hacia atrás|Aprieta los bíceps en la parte superior de un segundo sin subir los codos|Baja la barra de forma controlada hasta extender completamente los brazos
Barbell front squat.mp4,Sentadilla frontal con barra,Piernas,Demostración de Sentadilla frontal con barra,Coloca la barra sobre los deltoides anteriores con los codos altos y paralelos al suelo|Pisa el suelo con los pies al ancho de hombros y mantén el pecho erguido durante todo el movimiento|Baja de forma controlada manteniendo los codos altos y el torso lo más vertical posible|Desciende hasta que los muslos queden al menos paralelos al suelo sin perder la posición de la barra|Empuja el suelo con los talones para subir sin dejar caer los codos
Barbell hip thrust.mp4,Hip thrust con barra,Piernas,Demostración de Hip thrust con barra,Apoya la parte superior de la espalda en un banco y coloca la barra sobre las caderas con protección|Pisa el suelo con los pies al ancho de caderas y la barbilla ligeramente hacia el pecho|Baja las caderas de forma controlada sin perder el contacto del banco con la espalda|Empuja con los talones y aprieta los glúteos hasta alinear el torso con los muslos en la parte alta|Mantén la barbilla metida y evita hiperextender la zona lumbar al final del movimiento
Barbell row.mp4,Remo con barra,Espalda,Demostración de Remo con barra,Inclínate hacia adelante con la espalda recta y las rodillas ligeramente flexionadas|Agarra la barra con las palmas hacia abajo al ancho de hombros y deja los brazos extendidos|Tira de la barra hacia el abdomen bajo apretando los omóplatos hacia atrás|Mantén el torso estable y los codos cerca del cuerpo durante el tirón|Baja la barra de forma controlada hasta extender los brazos sin redondear la espalda
Bench Dips.mp4,Fondos en banco,Brazos,Demostración de Fondos en banco,Siéntate en el borde de un banco con las manos a los lados y los dedos apuntando hacia adelante|Desliza las caderas hacia adelante hasta que el peso quede sobre los brazos con las piernas extendidas o flexionadas|Baja el cuerpo flexionando los codos hasta formar aproximadamente 90 grados sin hundir los hombros|Empuja con las palmas para subir hasta extender los brazos sin bloquear los codos bruscamente|Mantén los hombros alejados de las orejas durante todo el movimiento
Bench press.mp4,Press de banca,Pecho,Demostración de Press de banca,Acuéstate en el banco con los pies firmes en el suelo y los omóplatos retraídos contra el respaldo|Agarra la barra con las manos un poco más anchas que los hombros y las muñecas rectas|Desbloquea la barra y bájala de forma controlada hasta tocar la parte media del pecho|Empuja la barra hacia arriba en línea recta manteniendo los codos a unos 45 grados del torso|Mantén las caderas apoyadas en el banco y los pies presionando el suelo durante todo el movimiento
